Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Pts,Away Team,Away Elo,Away Pts,Home W,Home Pt Diff
2021-09-12,@ TEN,0,0,ARI vs. TEN,TEN,1500.0,13,ARI,1500.0,38,0,-25
2021-09-19,@ ARI,0,0,MIN vs. ARI,ARI,1550.0,34,MIN,1450.0,33,1,1
2021-09-26,@ JAX,0,0,ARI vs. JAX,JAX,1414.0064999802885,19,ARI,1585.9935000197115,31,0,-12
2021-10-03,@ LAR,1,0,ARI vs. LAR,LAR,1635.9935000197115,20,ARI,1613.0839817871451,37,0,-17
2021-10-10,@ ARI,1,0,SFO vs. ARI,ARI,1666.3761564775527,17,SFO,1470.6438812404836,10,1,7
2021-10-17,@ CLE,0,0,ARI vs. CLE,CLE,1551.1338319808774,14,ARI,1690.8527460323673,37,0,-23
2021-10-24,@ ARI,0,0,HOU vs. ARI,ARI,1721.7636755391318,31,HOU,1322.829495405176,5,1,26
2021-10-28,@ ARI,0,0,GNB vs. ARI,ARI,1730.9054174479581,21,GNB,1698.2570161593296,24,0,-3
2021-11-07,@ SFO,1,0,ARI vs. SFO,SFO,1470.6438812404836,17,ARI,1666.3761564775527,31,0,-14
2021-11-14,@ ARI,0,0,CAR vs. ARI,ARI,1698.5880852843743,10,CAR,1415.559588843261,34,0,-24
2021-11-21,@ SEA,1,0,ARI vs. SEA,SEA,1406.127843292101,13,ARI,1614.9814942966357,23,0,-10
2021-12-05,@ CHI,0,0,ARI vs. CHI,CHI,1396.623157821536,22,ARI,1638.088867145787,33,0,-11
2021-12-13,@ ARI,1,0,LAR vs. ARI,ARI,1613.0839817871451,23,LAR,1635.9935000197115,30,0,-7
2021-12-19,@ DET,0,0,ARI vs. DET,DET,1245.8430806112474,30,ARI,1589.8778060075924,12,1,18
2021-12-25,@ ARI,0,0,IND vs. ARI,ARI,1502.0051805108096,16,IND,1633.634578400184,22,0,-6
2022-01-02,@ DAL,0,0,ARI vs. DAL,DAL,1662.9710006108435,22,ARI,1470.091026157733,25,0,-3
2022-01-09,@ ARI,1,0,SEA vs. ARI,ARI,1614.9814942966357,30,SEA,1406.127843292101,38,0,-8
2022-01-17,@ LAR,1,1,ARI vs. LAR,LAR,1618.1369598833517,34,ARI,1475.894345943952,11,1,23
2021-09-12,@ ATL,0,0,PHI vs. ATL,ATL,1500.0,6,PHI,1500.0,32,0,-26
2021-09-19,@ TAM,1,0,ATL vs. TAM,TAM,1550.0,48,ATL,1450.0,25,1,23
2021-09-26,@ NYG,0,0,ATL vs. NYG,NYG,1400.0,14,ATL,1414.0064999802885,17,0,-3
2021-10-03,@ ATL,0,0,WAS vs. ATL,ATL,1461.991893872262,30,WAS,1452.0146061080266,34,0,-4
2021-10-10,@ ATL,0,0,NYJ vs. ATL,ATL,1410.5564413090237,27,NYJ,1447.782533489773,20,1,7
2021-10-24,@ MIA,0,0,ATL vs. MIA,MIA,1309.505911949124,28,ATL,1465.893299644682,30,0,-2
2021-10-31,@ ATL,1,0,CAR vs. ATL,ATL,1494.7934552457655,13,CAR,1387.2605743056663,19,0,-6
2021-11-07,@ NOR,1,0,ATL vs. NOR,NOR,1626.4699577198774,25,ATL,1429.7941419976146,27,0,-2
2021-11-14,@ DAL,0,0,ATL vs. DAL,DAL,1621.3243789488492,43,ATL,1505.4178166737397,3,1,40
2021-11-18,@ ATL,0,0,NWE vs. ATL,ATL,1471.5056721844471,0,NWE,1629.9772725685991,25,0,-25
2021-11-28,@ JAX,0,0,ATL vs. JAX,JAX,1343.2861546746053,14,ATL,1442.85141930927,21,0,-7
2021-12-05,@ ATL,1,0,TAM vs. ATL,ATL,1450.0,17,TAM,1550.0,30,0,-13
2021-12-12,@ CAR,1,0,ATL vs. CAR,CAR,1387.2605743056663,21,ATL,1494.7934552457655,29,0,-8
2021-12-19,@ SFO,0,0,ATL vs. SFO,SFO,1567.6366612805564,31,ATL,1489.5186762777491,13,1,18
2021-12-26,@ ATL,0,0,DET vs. ATL,ATL,1450.575068855161,20,DET,1333.7157061080302,16,1,4
